lap,actual_lap_time,cf_lap_time_mean,cf_lap_time_q10,cf_lap_time_q90,lap_delta,cumulative_delta,actual_compound,cf_compound,actual_tyre_age,cf_tyre_age,actual_traffic_effect,cf_traffic_effect,pit_state,track_status,actual_position,cf_position_median,cf_position_q10,cf_position_q90,actual_lap_inferred,lap_delta_q10,lap_delta_q90,cumulative_delta_q10,cumulative_delta_q90,delta_tyre_mean,delta_pit_mean,actual_pit_state,frozen
1,90.453000,90.453000,90.453000,90.453000,0.000000,0.000000,SOFT,SOFT,5.000000,5.000000,0.426758,0.426758,run,GREEN,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
2,80.351000,80.351000,80.351000,80.351000,0.000000,0.000000,SOFT,SOFT,6.000000,6.000000,0.421058,0.421058,run,GREEN,5,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
3,79.524000,79.524000,79.524000,79.524000,0.000000,0.000000,SOFT,SOFT,7.000000,7.000000,0.426758,0.426758,run,GREEN,5,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
4,78.636000,78.636000,78.636000,78.636000,0.000000,0.000000,SOFT,SOFT,8.000000,8.000000,0.235047,0.235047,run,GREEN,5,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
5,77.808000,77.808000,77.808000,77.808000,0.000000,0.000000,SOFT,SOFT,9.000000,9.000000,0.087969,0.087969,run,GREEN,5,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
6,77.344000,77.344000,77.344000,77.344000,0.000000,0.000000,SOFT,SOFT,10.000000,10.000000,0.079082,0.079082,run,GREEN,5,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
7,77.190000,77.190000,77.190000,77.190000,0.000000,0.000000,SOFT,SOFT,11.000000,11.000000,0.045751,0.045751,run,GREEN,5,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
8,76.639000,76.639000,76.639000,76.639000,0.000000,0.000000,SOFT,SOFT,12.000000,12.000000,0.046275,0.046275,run,GREEN,5,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
9,76.479000,76.479000,76.479000,76.479000,0.000000,0.000000,SOFT,SOFT,13.000000,13.000000,0.067844,0.067844,run,GREEN,5,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
10,76.469000,76.469000,76.469000,76.469000,0.000000,0.000000,SOFT,SOFT,14.000000,14.000000,0.110203,0.110203,run,GREEN,5,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
11,76.227000,76.227000,76.227000,76.227000,0.000000,0.000000,SOFT,SOFT,15.000000,15.000000,0.117977,0.117977,run,GREEN,5,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
12,76.218000,76.218000,76.218000,76.218000,0.000000,0.000000,SOFT,SOFT,16.000000,16.000000,0.152879,0.152879,run,GREEN,5,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
13,76.829000,76.829000,76.829000,76.829000,0.000000,0.000000,SOFT,SOFT,17.000000,17.000000,0.129883,0.129883,run,YELLOW,5,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
14,80.202000,80.202000,80.202000,80.202000,0.000000,0.000000,SOFT,SOFT,18.000000,18.000000,0.067640,0.067640,run,YELLOW,5,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
15,76.757000,76.757000,76.757000,76.757000,0.000000,0.000000,SOFT,SOFT,19.000000,19.000000,0.000000,0.000000,run,GREEN,5,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
16,76.583000,76.583000,76.583000,76.583000,0.000000,0.000000,SOFT,SOFT,20.000000,20.000000,0.000000,0.000000,run,GREEN,5,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
17,76.553000,76.553000,76.553000,76.553000,0.000000,0.000000,SOFT,SOFT,21.000000,21.000000,0.000000,0.000000,run,GREEN,5,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
18,76.585000,76.585000,76.585000,76.585000,0.000000,0.000000,SOFT,SOFT,22.000000,22.000000,0.000000,0.000000,run,GREEN,5,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
19,76.350000,76.350000,76.350000,76.350000,0.000000,0.000000,SOFT,SOFT,23.000000,23.000000,0.000000,0.000000,run,YELLOW,5,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
20,76.280000,89.785395,87.239580,92.421257,13.505395,13.505395,SOFT,SOFT,24.000000,24.000000,0.000000,0.000000,in_lap,GREEN,5,,,,False,10.959580,16.141257,10.959580,16.141257,0.000000,13.505395,run,False
21,76.264000,89.363709,87.481457,91.351281,13.099709,26.605104,SOFT,HARD,25.000000,1.000000,0.000000,0.000000,out_lap,GREEN,5,,,,False,11.217457,15.087281,22.169963,30.997462,1.423723,11.675986,run,False
22,76.091000,78.196451,77.242171,79.167479,2.105451,28.710555,SOFT,HARD,26.000000,2.000000,0.000000,0.000000,warm_up_1,GREEN,5,,,,False,1.151171,3.076479,24.355259,33.361414,1.428214,0.677238,run,False
23,76.279000,78.280571,77.279187,79.273725,2.001571,30.712126,SOFT,HARD,27.000000,3.000000,0.000000,0.000000,warm_up_2,GREEN,5,,,,False,1.000187,2.994725,26.005244,35.167259,1.432705,0.568866,run,False
