lap,actual_lap_time,cf_lap_time_mean,cf_lap_time_q10,cf_lap_time_q90,lap_delta,cumulative_delta,actual_compound,cf_compound,actual_tyre_age,cf_tyre_age,actual_traffic_effect,cf_traffic_effect,pit_state,track_status,actual_position,cf_position_median,cf_position_q10,cf_position_q90,actual_lap_inferred,lap_delta_q10,lap_delta_q90,cumulative_delta_q10,cumulative_delta_q90,delta_tyre_mean,delta_pit_mean,actual_pit_state,frozen
1,101.333000,101.333000,101.333000,101.333000,0.000000,0.000000,HARD,HARD,1.000000,1.000000,1.144260,1.144260,run,GREEN,16,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
2,86.828000,86.828000,86.828000,86.828000,0.000000,0.000000,HARD,HARD,2.000000,2.000000,1.144260,1.144260,run,GREEN,15,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
3,87.096000,87.096000,87.096000,87.096000,0.000000,0.000000,HARD,HARD,3.000000,3.000000,1.144260,1.144260,run,GREEN,14,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
4,86.571000,86.571000,86.571000,86.571000,0.000000,0.000000,HARD,HARD,4.000000,4.000000,1.123297,1.123297,run,GREEN,13,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
5,84.879000,84.879000,84.879000,84.879000,0.000000,0.000000,HARD,HARD,5.000000,5.000000,0.411862,0.411862,run,GREEN,12,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
6,84.968000,84.968000,84.968000,84.968000,0.000000,0.000000,HARD,HARD,6.000000,6.000000,1.026855,1.026855,run,GREEN,11,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
7,85.384000,85.384000,85.384000,85.384000,0.000000,0.000000,HARD,HARD,7.000000,7.000000,0.956823,0.956823,run,GREEN,11,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
8,84.707000,84.707000,84.707000,84.707000,0.000000,0.000000,HARD,HARD,8.000000,8.000000,0.641369,0.641369,run,GREEN,10,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
9,85.071000,85.071000,85.071000,85.071000,0.000000,0.000000,HARD,HARD,9.000000,9.000000,0.759888,0.759888,run,GREEN,10,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
10,85.133000,85.133000,85.133000,85.133000,0.000000,0.000000,HARD,HARD,10.000000,10.000000,0.983600,0.983600,run,GREEN,9,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
11,91.029000,91.029000,91.029000,91.029000,0.000000,0.000000,HARD,HARD,11.000000,11.000000,0.849501,0.849501,run,VSC,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,True
12,114.214000,114.214000,114.214000,114.214000,0.000000,0.000000,HARD,HARD,12.000000,12.000000,0.000000,0.000000,run,VSC,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,True
13,114.861000,114.861000,114.861000,114.861000,0.000000,0.000000,HARD,HARD,13.000000,13.000000,0.145965,0.145965,run,VSC,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,True
14,86.130000,86.130000,86.130000,86.130000,0.000000,0.000000,HARD,HARD,14.000000,14.000000,0.644629,0.644629,run,VSC,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,True
15,84.098000,84.098000,84.098000,84.098000,0.000000,0.000000,HARD,HARD,15.000000,15.000000,0.164223,0.164223,run,GREEN,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
16,84.606000,84.606000,84.606000,84.606000,0.000000,0.000000,HARD,HARD,16.000000,16.000000,0.348413,0.348413,run,GREEN,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
17,84.757000,84.757000,84.757000,84.757000,0.000000,0.000000,HARD,HARD,17.000000,17.000000,0.905054,0.905054,run,GREEN,6,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
18,108.547000,100.557000,100.557000,100.557000,-7.990000,-7.990000,HARD,HARD,18.000000,18.000000,0.936977,0.936977,run,VSC,7,,,,False,-7.990000,-7.990000,-7.990000,-7.990000,0.000000,-7.990000,in_lap,True
19,116.349000,110.994931,110.994931,110.994931,-5.354069,-13.344069,MEDIUM,HARD,1.000000,19.000000,0.647939,0.647939,run,VSC,7,,,,False,-5.354069,-5.354069,-13.344069,-13.344069,0.000000,-5.354069,out_lap,True
20,83.566000,85.242764,84.527347,85.966807,1.676764,-11.667305,MEDIUM,HARD,2.000000,20.000000,0.667485,0.667485,run,GREEN,6,,,,False,0.961347,2.400807,-12.382722,-10.943262,1.613207,0.063557,run,False
21,83.536000,85.189277,84.884590,85.493827,1.653277,-10.014028,MEDIUM,HARD,3.000000,21.000000,0.000000,0.000000,run,GREEN,6,,,,False,1.348590,1.957827,-10.856654,-9.072321,1.653277,0.000000,run,False
