lap,actual_lap_time,cf_lap_time_mean,cf_lap_time_q10,cf_lap_time_q90,lap_delta,cumulative_delta,actual_compound,cf_compound,actual_tyre_age,cf_tyre_age,actual_traffic_effect,cf_traffic_effect,pit_state,track_status,actual_position,cf_position_median,cf_position_q10,cf_position_q90,actual_lap_inferred,lap_delta_q10,lap_delta_q90,cumulative_delta_q10,cumulative_delta_q90,delta_tyre_mean,delta_pit_mean,actual_pit_state,frozen
1,92.115000,92.115000,92.115000,92.115000,0.000000,0.000000,MEDIUM,MEDIUM,1.000000,1.000000,0.567685,0.567685,run,GREEN,10,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
2,95.404000,95.404000,95.404000,95.404000,0.000000,0.000000,MEDIUM,MEDIUM,2.000000,2.000000,0.521160,0.521160,run,GREEN,10,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
3,94.932000,94.932000,94.932000,94.932000,0.000000,0.000000,MEDIUM,MEDIUM,3.000000,3.000000,0.580937,0.580937,run,GREEN,10,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
4,94.770000,94.770000,94.770000,94.770000,0.000000,0.000000,MEDIUM,MEDIUM,4.000000,4.000000,0.506950,0.506950,run,GREEN,10,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
5,95.888000,95.888000,95.888000,95.888000,0.000000,0.000000,MEDIUM,MEDIUM,5.000000,5.000000,0.022691,0.022691,run,YELLOW,9,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
6,135.327000,135.327000,135.327000,135.327000,0.000000,0.000000,MEDIUM,MEDIUM,6.000000,6.000000,0.042573,0.042573,run,SC,9,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,True
7,127.970000,127.970000,127.970000,127.970000,0.000000,0.000000,MEDIUM,MEDIUM,7.000000,7.000000,0.231178,0.231178,run,SC,8,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,True
8,144.680000,144.680000,144.680000,144.680000,0.000000,0.000000,MEDIUM,MEDIUM,8.000000,8.000000,0.454766,0.454766,run,SC,8,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,True
9,143.515000,143.515000,143.515000,143.515000,0.000000,0.000000,MEDIUM,MEDIUM,9.000000,9.000000,0.453887,0.453887,run,SC,8,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,True
10,140.112000,140.112000,140.112000,140.112000,0.000000,0.000000,MEDIUM,MEDIUM,10.000000,10.000000,0.533688,0.533688,run,SC,8,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,True
