lap,actual_lap_time,cf_lap_time_mean,cf_lap_time_q10,cf_lap_time_q90,lap_delta,cumulative_delta,actual_compound,cf_compound,actual_tyre_age,cf_tyre_age,actual_traffic_effect,cf_traffic_effect,pit_state,track_status,actual_position,cf_position_median,cf_position_q10,cf_position_q90,actual_lap_inferred,lap_delta_q10,lap_delta_q90,cumulative_delta_q10,cumulative_delta_q90,delta_tyre_mean,delta_pit_mean,actual_pit_state,frozen
1,84.418000,84.418000,84.418000,84.418000,0.000000,0.000000,MEDIUM,MEDIUM,1.000000,1.000000,0.342258,0.342258,run,GREEN,1,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
2,81.513000,81.513000,81.513000,81.513000,0.000000,0.000000,MEDIUM,MEDIUM,2.000000,2.000000,0.000000,0.000000,run,GREEN,1,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
3,81.479000,81.479000,81.479000,81.479000,0.000000,0.000000,MEDIUM,MEDIUM,3.000000,3.000000,0.000000,0.000000,run,GREEN,1,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
4,82.044000,82.044000,82.044000,82.044000,0.000000,0.000000,MEDIUM,MEDIUM,4.000000,4.000000,0.000000,0.000000,run,GREEN,1,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
5,82.427000,82.427000,82.427000,82.427000,0.000000,0.000000,MEDIUM,MEDIUM,5.000000,5.000000,0.000000,0.000000,run,GREEN,1,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
6,82.473000,82.473000,82.473000,82.473000,0.000000,0.000000,MEDIUM,MEDIUM,6.000000,6.000000,0.000000,0.000000,run,GREEN,1,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
7,82.687000,82.687000,82.687000,82.687000,0.000000,0.000000,MEDIUM,MEDIUM,7.000000,7.000000,0.000000,0.000000,run,GREEN,1,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
8,83.253000,83.253000,83.253000,83.253000,0.000000,0.000000,MEDIUM,MEDIUM,8.000000,8.000000,0.000000,0.000000,run,GREEN,1,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
9,83.198000,83.198000,83.198000,83.198000,0.000000,0.000000,MEDIUM,MEDIUM,9.000000,9.000000,0.000000,0.000000,run,GREEN,1,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
10,83.510000,83.510000,83.510000,83.510000,0.000000,0.000000,MEDIUM,MEDIUM,10.000000,10.000000,0.000000,0.000000,run,GREEN,1,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
11,83.701000,83.701000,83.701000,83.701000,0.000000,0.000000,MEDIUM,MEDIUM,11.000000,11.000000,0.000000,0.000000,run,GREEN,1,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
12,87.454000,87.176837,86.838714,87.526919,-0.277163,-0.277163,MEDIUM,MEDIUM,12.000000,12.000000,0.000000,0.000000,in_lap,GREEN,1,,,,False,-0.615286,0.072919,-0.615286,0.072919,0.000000,-0.277163,in_lap,False
13,100.974000,102.903862,101.064506,104.839514,1.929862,1.652699,HARD,HARD,1.000000,1.000000,0.020837,0.020837,out_lap,GREEN,5,,,,False,0.090506,3.865514,-0.515062,3.929113,0.000000,1.929862,out_lap,False
14,81.790000,81.498499,80.846289,82.178881,-0.291501,1.361198,HARD,HARD,2.000000,2.000000,0.009142,0.009142,warm_up_1,GREEN,3,,,,False,-0.943711,0.388881,-0.769463,3.849592,0.000000,-0.291501,run,False
15,81.972000,81.867479,81.203546,82.577886,-0.104521,1.256677,HARD,HARD,3.000000,3.000000,0.004381,0.004381,warm_up_2,GREEN,2,,,,False,-0.768454,0.605886,-1.075699,3.687425,0.000000,-0.104521,run,False
16,82.161000,82.161000,82.161000,82.161000,0.000000,1.256677,HARD,HARD,4.000000,4.000000,0.007246,0.007246,run,GREEN,1,,,,False,0.000000,0.000000,-1.075699,3.687425,0.000000,0.000000,run,False
17,81.766000,81.766000,81.766000,81.766000,0.000000,1.256677,HARD,HARD,5.000000,5.000000,0.000000,0.000000,run,GREEN,1,,,,False,0.000000,0.000000,-1.075699,3.687425,0.000000,0.000000,run,False
18,82.103000,82.103000,82.103000,82.103000,0.000000,1.256677,HARD,HARD,6.000000,6.000000,0.000000,0.000000,run,GREEN,1,,,,False,0.000000,0.000000,-1.075699,3.687425,0.000000,0.000000,run,False
19,82.446000,82.446000,82.446000,82.446000,0.000000,1.256677,HARD,HARD,7.000000,7.000000,0.000000,0.000000,run,GREEN,1,,,,False,0.000000,0.000000,-1.075699,3.687425,0.000000,0.000000,run,False
20,82.513000,82.513000,82.513000,82.513000,0.000000,1.256677,HARD,HARD,8.000000,8.000000,0.000000,0.000000,run,GREEN,1,,,,False,0.000000,0.000000,-1.075699,3.687425,0.000000,0.000000,run,False
21,82.556000,82.556000,82.556000,82.556000,0.000000,1.256677,HARD,HARD,9.000000,9.000000,0.000000,0.000000,run,GREEN,1,,,,False,0.000000,0.000000,-1.075699,3.687425,0.000000,0.000000,run,False
22,82.725000,82.725000,82.725000,82.725000,0.000000,1.256677,HARD,HARD,10.000000,10.000000,0.000000,0.000000,run,GREEN,1,,,,False,0.000000,0.000000,-1.075699,3.687425,0.000000,0.000000,run,False
23,83.254000,83.254000,83.254000,83.254000,0.000000,1.256677,HARD,HARD,11.000000,11.000000,0.000000,0.000000,run,GREEN,1,,,,False,0.000000,0.000000,-1.075699,3.687425,0.000000,0.000000,run,False
24,82.803000,82.803000,82.803000,82.803000,0.000000,1.256677,HARD,HARD,12.000000,12.000000,0.000000,0.000000,run,GREEN,1,,,,False,0.000000,0.000000,-1.075699,3.687425,0.000000,0.000000,run,False
25,83.026000,83.026000,83.026000,83.026000,0.000000,1.256677,HARD,HARD,13.000000,13.000000,0.000000,0.000000,run,GREEN,1,,,,False,0.000000,0.000000,-1.075699,3.687425,0.000000,0.000000,run,False
26,82.908000,82.908000,82.908000,82.908000,0.000000,1.256677,HARD,HARD,14.000000,14.000000,0.000000,0.000000,run,GREEN,1,,,,False,0.000000,0.000000,-1.075699,3.687425,0.000000,0.000000,run,False
27,83.144000,83.144000,83.144000,83.144000,0.000000,1.256677,HARD,HARD,15.000000,15.000000,0.000000,0.000000,run,GREEN,1,,,,False,0.000000,0.000000,-1.075699,3.687425,0.000000,0.000000,run,False
28,83.176000,83.176000,83.176000,83.176000,0.000000,1.256677,HARD,HARD,16.000000,16.000000,0.000000,0.000000,run,GREEN,1,,,,False,0.000000,0.000000,-1.075699,3.687425,0.000000,0.000000,run,False
29,83.208000,83.208000,83.208000,83.208000,0.000000,1.256677,HARD,HARD,17.000000,17.000000,0.000000,0.000000,run,GREEN,1,,,,False,0.000000,0.000000,-1.075699,3.687425,0.000000,0.000000,run,False
30,83.647000,87.264246,86.926124,87.614328,3.617246,4.873923,HARD,HARD,18.000000,18.000000,0.000000,0.000000,in_lap,GREEN,1,,,,False,3.279124,3.967328,2.211052,7.553692,0.000000,3.617246,run,False
31,83.325000,102.522055,100.608213,104.538267,19.197055,24.070978,HARD,SOFT,19.000000,1.000000,0.000000,0.000000,out_lap,GREEN,1,,,,False,17.283213,21.213267,19.491775,28.644241,-1.481715,20.678771,run,False
