lap,actual_lap_time,cf_lap_time_mean,cf_lap_time_q10,cf_lap_time_q90,lap_delta,cumulative_delta,actual_compound,cf_compound,actual_tyre_age,cf_tyre_age,actual_traffic_effect,cf_traffic_effect,pit_state,track_status,actual_position,cf_position_median,cf_position_q10,cf_position_q90,actual_lap_inferred,lap_delta_q10,lap_delta_q90,cumulative_delta_q10,cumulative_delta_q90,delta_tyre_mean,delta_pit_mean,actual_pit_state,frozen
1,89.924000,89.924000,89.924000,89.924000,0.000000,0.000000,SOFT,SOFT,6.000000,6.000000,0.000000,0.000000,run,GREEN,5,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
2,80.276000,80.276000,80.276000,80.276000,0.000000,0.000000,SOFT,SOFT,7.000000,7.000000,0.000000,0.000000,run,GREEN,4,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
3,79.617000,79.617000,79.617000,79.617000,0.000000,0.000000,SOFT,SOFT,8.000000,8.000000,0.000000,0.000000,run,GREEN,4,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
4,77.834000,77.834000,77.834000,77.834000,0.000000,0.000000,SOFT,SOFT,9.000000,9.000000,0.000000,0.000000,run,GREEN,4,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
5,77.221000,77.221000,77.221000,77.221000,0.000000,0.000000,SOFT,SOFT,10.000000,10.000000,0.000000,0.000000,run,GREEN,4,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
6,77.206000,77.206000,77.206000,77.206000,0.000000,0.000000,SOFT,SOFT,11.000000,11.000000,0.000000,0.000000,run,GREEN,4,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
7,76.674000,76.674000,76.674000,76.674000,0.000000,0.000000,SOFT,SOFT,12.000000,12.000000,0.000000,0.000000,run,GREEN,4,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
8,76.576000,76.576000,76.576000,76.576000,0.000000,0.000000,SOFT,SOFT,13.000000,13.000000,0.000000,0.000000,run,GREEN,4,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
9,76.804000,76.804000,76.804000,76.804000,0.000000,0.000000,SOFT,SOFT,14.000000,14.000000,0.000000,0.000000,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
10,76.459000,76.459000,76.459000,76.459000,0.000000,0.000000,SOFT,SOFT,15.000000,15.000000,0.000000,0.000000,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
11,76.497000,76.497000,76.497000,76.497000,0.000000,0.000000,SOFT,SOFT,16.000000,16.000000,0.000000,0.000000,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
12,76.352000,76.352000,76.352000,76.352000,0.000000,0.000000,SOFT,SOFT,17.000000,17.000000,0.000000,0.000000,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
13,76.532000,76.532000,76.532000,76.532000,0.000000,0.000000,SOFT,SOFT,18.000000,18.000000,0.000000,0.000000,run,YELLOW,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
14,76.372000,76.372000,76.372000,76.372000,0.000000,0.000000,SOFT,SOFT,19.000000,19.000000,0.000000,0.000000,run,YELLOW,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
15,76.174000,76.174000,76.174000,76.174000,0.000000,0.000000,SOFT,SOFT,20.000000,20.000000,0.000000,0.000000,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
16,76.132000,76.132000,76.132000,76.132000,0.000000,0.000000,SOFT,SOFT,21.000000,21.000000,0.000000,0.000000,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
17,76.088000,76.088000,76.088000,76.088000,0.000000,0.000000,SOFT,SOFT,22.000000,22.000000,0.000000,0.000000,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
18,76.006000,76.006000,76.006000,76.006000,0.000000,0.000000,SOFT,SOFT,23.000000,23.000000,0.000000,0.000000,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
19,76.203000,76.203000,76.203000,76.203000,0.000000,0.000000,SOFT,SOFT,24.000000,24.000000,0.000000,0.000000,run,YELLOW,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
20,76.180000,76.180000,76.180000,76.180000,0.000000,0.000000,SOFT,SOFT,25.000000,25.000000,0.000000,0.000000,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
21,76.744000,76.744000,76.744000,76.744000,0.000000,0.000000,SOFT,SOFT,26.000000,26.000000,0.000000,0.000000,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
22,75.837000,75.837000,75.837000,75.837000,0.000000,0.000000,SOFT,SOFT,27.000000,27.000000,0.000000,0.000000,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
23,76.262000,76.262000,76.262000,76.262000,0.000000,0.000000,SOFT,SOFT,28.000000,28.000000,0.000000,0.000000,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
24,76.871000,76.871000,76.871000,76.871000,0.000000,0.000000,SOFT,SOFT,29.000000,29.000000,0.000000,0.000000,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
25,76.423000,76.423000,76.423000,76.423000,0.000000,0.000000,SOFT,SOFT,30.000000,30.000000,0.000000,0.000000,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
26,76.335000,76.335000,76.335000,76.335000,0.000000,0.000000,SOFT,SOFT,31.000000,31.000000,0.000000,0.000000,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
27,76.262000,76.262000,76.262000,76.262000,0.000000,0.000000,SOFT,SOFT,32.000000,32.000000,0.000000,0.000000,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
28,76.101000,76.101000,76.101000,76.101000,0.000000,0.000000,SOFT,SOFT,33.000000,33.000000,0.000000,0.000000,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
29,76.255000,76.255000,76.255000,76.255000,0.000000,0.000000,SOFT,SOFT,34.000000,34.000000,0.000000,0.000000,run,GREEN,3,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
30,76.010000,76.010000,76.010000,76.010000,0.000000,0.000000,SOFT,SOFT,35.000000,35.000000,0.000000,0.000000,run,YELLOW,2,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
31,119.102000,105.363454,102.817638,107.999315,-13.738546,-13.738546,SOFT,SOFT,36.000000,36.000000,0.000000,0.000000,in_lap,VSC,2,,,,False,-16.284362,-11.102685,-16.284362,-11.102685,0.000000,-13.738546,in_lap,False
32,100.342000,89.968163,88.115070,91.916096,-10.373837,-24.112384,MEDIUM,MEDIUM,1.000000,1.000000,0.000000,0.000000,out_lap,VSC,2,,,,False,-12.226930,-8.425904,-28.432995,-19.723801,0.000000,-10.373837,out_lap,False
33,78.320000,78.797859,77.816807,79.727512,0.477859,-23.634524,MEDIUM,MEDIUM,2.000000,2.000000,0.000000,0.000000,warm_up_1,GREEN,2,,,,False,-0.503193,1.407512,-28.191734,-19.136067,0.000000,0.477859,run,False
34,77.060000,77.467583,76.192833,78.830741,0.407583,-23.226941,MEDIUM,MEDIUM,3.000000,3.000000,0.000000,0.000000,warm_up_2,GREEN,2,,,,False,-0.867167,1.770741,-27.865899,-18.492505,0.000000,0.407583,run,False
35,76.430000,76.430000,76.430000,76.430000,0.000000,-23.226941,MEDIUM,MEDIUM,4.000000,4.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,-27.865899,-18.492505,0.000000,0.000000,run,False
36,76.570000,76.570000,76.570000,76.570000,0.000000,-23.226941,MEDIUM,MEDIUM,5.000000,5.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,-27.865899,-18.492505,0.000000,0.000000,run,False
37,75.535000,75.535000,75.535000,75.535000,0.000000,-23.226941,MEDIUM,MEDIUM,6.000000,6.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,-27.865899,-18.492505,0.000000,0.000000,run,False
38,75.690000,75.690000,75.690000,75.690000,0.000000,-23.226941,MEDIUM,MEDIUM,7.000000,7.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,-27.865899,-18.492505,0.000000,0.000000,run,False
39,75.635000,75.635000,75.635000,75.635000,0.000000,-23.226941,MEDIUM,MEDIUM,8.000000,8.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,-27.865899,-18.492505,0.000000,0.000000,run,False
40,75.596000,75.596000,75.596000,75.596000,0.000000,-23.226941,MEDIUM,MEDIUM,9.000000,9.000000,0.000000,0.000000,run,YELLOW,2,,,,False,0.000000,0.000000,-27.865899,-18.492505,0.000000,0.000000,run,False
41,75.618000,75.618000,75.618000,75.618000,0.000000,-23.226941,MEDIUM,MEDIUM,10.000000,10.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,-27.865899,-18.492505,0.000000,0.000000,run,False
42,75.415000,75.415000,75.415000,75.415000,0.000000,-23.226941,MEDIUM,MEDIUM,11.000000,11.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,-27.865899,-18.492505,0.000000,0.000000,run,False
43,75.387000,75.387000,75.387000,75.387000,0.000000,-23.226941,MEDIUM,MEDIUM,12.000000,12.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,-27.865899,-18.492505,0.000000,0.000000,run,False
44,75.505000,75.505000,75.505000,75.505000,0.000000,-23.226941,MEDIUM,MEDIUM,13.000000,13.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,-27.865899,-18.492505,0.000000,0.000000,run,False
45,75.222000,75.222000,75.222000,75.222000,0.000000,-23.226941,MEDIUM,MEDIUM,14.000000,14.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,-27.865899,-18.492505,0.000000,0.000000,run,False
46,92.344000,92.344000,92.344000,92.344000,0.000000,-23.226941,MEDIUM,MEDIUM,15.000000,15.000000,0.000000,0.000000,run,VSC,2,,,,False,0.000000,0.000000,-27.865899,-18.492505,0.000000,0.000000,run,False
47,75.476000,75.476000,75.476000,75.476000,0.000000,-23.226941,MEDIUM,MEDIUM,16.000000,16.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,-27.865899,-18.492505,0.000000,0.000000,run,False
48,75.452000,75.452000,75.452000,75.452000,0.000000,-23.226941,MEDIUM,MEDIUM,17.000000,17.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,-27.865899,-18.492505,0.000000,0.000000,run,False
49,75.535000,75.535000,75.535000,75.535000,0.000000,-23.226941,MEDIUM,MEDIUM,18.000000,18.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,-27.865899,-18.492505,0.000000,0.000000,run,False
50,75.021000,75.021000,75.021000,75.021000,0.000000,-23.226941,MEDIUM,MEDIUM,19.000000,19.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,-27.865899,-18.492505,0.000000,0.000000,run,False
51,75.494000,75.494000,75.494000,75.494000,0.000000,-23.226941,MEDIUM,MEDIUM,20.000000,20.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,-27.865899,-18.492505,0.000000,0.000000,run,False
52,78.606000,78.606000,78.606000,78.606000,0.000000,-23.226941,MEDIUM,MEDIUM,21.000000,21.000000,0.000000,0.000000,run,VSC,2,,,,False,0.000000,0.000000,-27.865899,-18.492505,0.000000,0.000000,run,False
53,104.334000,104.334000,104.334000,104.334000,0.000000,-23.226941,MEDIUM,MEDIUM,22.000000,22.000000,0.000000,0.000000,run,VSC,2,,,,False,0.000000,0.000000,-27.865899,-18.492505,0.000000,0.000000,run,False
54,81.504000,81.504000,81.504000,81.504000,0.000000,-23.226941,MEDIUM,MEDIUM,23.000000,23.000000,0.000000,0.000000,run,VSC,2,,,,False,0.000000,0.000000,-27.865899,-18.492505,0.000000,0.000000,run,False
55,75.453000,75.453000,75.453000,75.453000,0.000000,-23.226941,MEDIUM,MEDIUM,24.000000,24.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,-27.865899,-18.492505,0.000000,0.000000,run,False
56,75.559000,75.559000,75.559000,75.559000,0.000000,-23.226941,MEDIUM,MEDIUM,25.000000,25.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,-27.865899,-18.492505,0.000000,0.000000,run,False
57,75.950000,75.950000,75.950000,75.950000,0.000000,-23.226941,MEDIUM,MEDIUM,26.000000,26.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,-27.865899,-18.492505,0.000000,0.000000,run,False
58,75.336000,75.336000,75.336000,75.336000,0.000000,-23.226941,MEDIUM,MEDIUM,27.000000,27.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,-27.865899,-18.492505,0.000000,0.000000,run,False
59,74.791000,74.791000,74.791000,74.791000,0.000000,-23.226941,MEDIUM,MEDIUM,28.000000,28.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,-27.865899,-18.492505,0.000000,0.000000,run,False
60,74.854000,74.854000,74.854000,74.854000,0.000000,-23.226941,MEDIUM,MEDIUM,29.000000,29.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,-27.865899,-18.492505,0.000000,0.000000,run,False
61,75.097000,75.097000,75.097000,75.097000,0.000000,-23.226941,MEDIUM,MEDIUM,30.000000,30.000000,0.000000,0.000000,run,YELLOW,2,,,,False,0.000000,0.000000,-27.865899,-18.492505,0.000000,0.000000,run,False
62,75.563000,75.563000,75.563000,75.563000,0.000000,-23.226941,MEDIUM,MEDIUM,31.000000,31.000000,0.000000,0.000000,run,GREEN,3,,,,False,0.000000,0.000000,-27.865899,-18.492505,0.000000,0.000000,run,False
63,75.153000,75.153000,75.153000,75.153000,0.000000,-23.226941,MEDIUM,MEDIUM,32.000000,32.000000,0.000000,0.000000,run,GREEN,3,,,,False,0.000000,0.000000,-27.865899,-18.492505,0.000000,0.000000,run,False
