lap,actual_lap_time,cf_lap_time_mean,cf_lap_time_q10,cf_lap_time_q90,lap_delta,cumulative_delta,actual_compound,cf_compound,actual_tyre_age,cf_tyre_age,actual_traffic_effect,cf_traffic_effect,pit_state,track_status,actual_position,cf_position_median,cf_position_q10,cf_position_q90,actual_lap_inferred,lap_delta_q10,lap_delta_q90,cumulative_delta_q10,cumulative_delta_q90,delta_tyre_mean,delta_pit_mean,actual_pit_state,frozen
1,87.340000,87.340000,87.340000,87.340000,0.000000,0.000000,SOFT,SOFT,5.000000,5.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
2,81.447000,81.447000,81.447000,81.447000,0.000000,0.000000,SOFT,SOFT,6.000000,6.000000,0.000000,0.000000,run,GREEN,1,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
3,78.974000,78.974000,78.974000,78.974000,0.000000,0.000000,SOFT,SOFT,7.000000,7.000000,0.000000,0.000000,run,GREEN,1,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
4,77.974000,77.974000,77.974000,77.974000,0.000000,0.000000,SOFT,SOFT,8.000000,8.000000,0.000000,0.000000,run,GREEN,1,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
5,77.058000,77.058000,77.058000,77.058000,0.000000,0.000000,SOFT,SOFT,9.000000,9.000000,0.000000,0.000000,run,GREEN,1,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
6,77.710000,77.710000,77.710000,77.710000,0.000000,0.000000,SOFT,SOFT,10.000000,10.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
7,76.873000,76.873000,76.873000,76.873000,0.000000,0.000000,SOFT,SOFT,11.000000,11.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
8,76.047000,76.047000,76.047000,76.047000,0.000000,0.000000,SOFT,SOFT,12.000000,12.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
9,75.848000,75.848000,75.848000,75.848000,0.000000,0.000000,SOFT,SOFT,13.000000,13.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
10,75.740000,75.740000,75.740000,75.740000,0.000000,0.000000,SOFT,SOFT,14.000000,14.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
11,75.630000,75.630000,75.630000,75.630000,0.000000,0.000000,SOFT,SOFT,15.000000,15.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
12,75.916000,75.916000,75.916000,75.916000,0.000000,0.000000,SOFT,SOFT,16.000000,16.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
13,77.833000,77.833000,77.833000,77.833000,0.000000,0.000000,SOFT,SOFT,17.000000,17.000000,0.000000,0.000000,run,YELLOW,2,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
14,76.126000,76.126000,76.126000,76.126000,0.000000,0.000000,SOFT,SOFT,18.000000,18.000000,0.000000,0.000000,run,YELLOW,2,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
15,75.635000,75.635000,75.635000,75.635000,0.000000,0.000000,SOFT,SOFT,19.000000,19.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
16,75.411000,75.411000,75.411000,75.411000,0.000000,0.000000,SOFT,SOFT,20.000000,20.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
17,76.531000,76.531000,76.531000,76.531000,0.000000,0.000000,SOFT,SOFT,21.000000,21.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
18,75.715000,75.715000,75.715000,75.715000,0.000000,0.000000,SOFT,SOFT,22.000000,22.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
19,75.587000,75.587000,75.587000,75.587000,0.000000,0.000000,SOFT,SOFT,23.000000,23.000000,0.000000,0.000000,run,YELLOW,2,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
20,75.559000,75.559000,75.559000,75.559000,0.000000,0.000000,SOFT,SOFT,24.000000,24.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
21,75.439000,75.439000,75.439000,75.439000,0.000000,0.000000,SOFT,SOFT,25.000000,25.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
22,76.182000,76.182000,76.182000,76.182000,0.000000,0.000000,SOFT,SOFT,26.000000,26.000000,0.000000,0.000000,run,GREEN,1,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
23,75.413000,75.413000,75.413000,75.413000,0.000000,0.000000,SOFT,SOFT,27.000000,27.000000,0.000000,0.000000,run,GREEN,1,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
24,76.465000,76.465000,76.465000,76.465000,0.000000,0.000000,SOFT,SOFT,28.000000,28.000000,0.000000,0.000000,run,GREEN,1,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
25,78.543000,78.543000,78.543000,78.543000,0.000000,0.000000,SOFT,SOFT,29.000000,29.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
26,76.480000,76.480000,76.480000,76.480000,0.000000,0.000000,SOFT,SOFT,30.000000,30.000000,0.000000,0.000000,run,GREEN,2,,,,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,run,False
27,75.971000,89.476395,86.930580,92.112257,13.505395,13.505395,SOFT,SOFT,31.000000,31.000000,0.000000,0.000000,in_lap,GREEN,2,,,,False,10.959580,16.141257,10.959580,16.141257,0.000000,13.505395,run,False
28,76.427000,88.364783,86.437605,90.350240,11.937783,25.443178,SOFT,HARD,32.000000,1.000000,0.000000,0.000000,out_lap,GREEN,2,,,,False,10.010605,13.923240,21.190146,29.807424,0.261797,11.675986,run,False
29,75.752000,76.691726,75.559777,77.841922,0.939726,26.382904,SOFT,HARD,33.000000,2.000000,0.000000,0.000000,warm_up_1,GREEN,2,,,,False,-0.192223,2.089922,21.918826,31.207032,0.262489,0.677238,run,False
30,76.361000,77.193047,75.967584,78.322671,0.832047,27.214951,SOFT,HARD,34.000000,3.000000,0.000000,0.000000,warm_up_2,YELLOW,1,,,,False,-0.393416,1.961671,22.049487,32.172818,0.263181,0.568866,run,False
31,119.239000,91.830932,91.057020,92.675680,-27.408068,-0.193117,SOFT,HARD,35.000000,4.000000,0.000000,0.000000,run,VSC,1,,,,False,-28.181980,-26.563320,-5.563462,5.200299,0.263873,-27.671941,in_lap,False
32,101.101000,78.353355,78.034746,78.653952,-22.747645,-22.940762,MEDIUM,HARD,1.000000,5.000000,0.000000,0.000000,run,VSC,1,,,,False,-23.066254,-22.447048,-28.345011,-17.507248,0.696119,-23.443765,out_lap,False
